B,H
0.1266,34.75023
0.127683,34.90449
0.128774,35.059435
0.129874,35.215068
0.130984,35.371392
0.132101,35.52841
0.133228,35.686125
0.134364,35.84454
0.135509,36.003658
0.136664,36.163483
0.137827,36.324017
0.139,36.485263
0.140182,36.647226
0.141373,36.809907
0.142574,36.973311
0.143785,37.137439
0.145005,37.302297
0.146235,37.467886
0.147475,37.634211
0.148724,37.801273
0.149983,37.969078
0.151253,38.137627
0.152532,38.306924
0.153821,38.476973
0.155121,38.647777
0.15643,38.819339
0.15775,38.991663
0.159081,39.164752
0.160421,39.338609
0.161772,39.513237
0.163134,39.688641
0.164506,39.864824
0.165889,40.041789
0.167283,40.219539
0.168688,40.398078
0.170103,40.57741
0.17153,40.757538
0.172967,40.938466
0.174416,41.120196
0.175875,41.302734
0.177346,41.486082
0.178828,41.670243
0.180322,41.855222
0.181827,42.041023
0.183344,42.227648
0.184872,42.415101
0.186411,42.603387
0.187963,42.792509
0.189526,42.98247
0.191101,43.173274
0.192688,43.364925
0.194287,43.557427
0.195899,43.750784
0.197522,43.944999
0.199157,44.140076
0.200805,44.336019
0.202465,44.532832
0.204138,44.730518
0.205823,44.929082
0.207521,45.128528
0.209231,45.328859
0.210954,45.530079
0.21269,45.732192
0.214438,45.935203
0.2162,46.139115
0.217974,46.343932
0.219762,46.549658
0.221563,46.756298
0.223377,46.963854
0.225204,47.172332
0.227044,47.381736
0.228898,47.592069
0.230766,47.803336
0.232647,48.015541
0.234541,48.228687
0.23645,48.44278
0.238372,48.657824
0.240308,48.873821
0.242258,49.090778
0.244221,49.308698
0.246199,49.527585
0.248191,49.747444
0.250197,49.968279
0.252218,50.190094
0.254252,50.412894
0.256301,50.636683
0.258365,50.861465
0.260443,51.087245
0.262535,51.314027
0.264643,51.541816
0.266765,51.770617
0.268901,52.000433
0.271053,52.231269
0.273219,52.463129
0.275401,52.69602
0.277597,52.929943
0.279809,53.164906
0.282036,53.400911
0.284277,53.637964
0.286535,53.876069
0.288807,54.115232
0.291095,54.355456
0.293399,54.596746
0.295718,54.839107
0.298052,55.082545
0.300403,55.327063
0.302769,55.572666
0.30515,55.81936
0.307548,56.067149
0.309961,56.316037
0.312391,56.566031
0.314836,56.817134
0.317297,57.069352
0.319775,57.32269
0.322268,57.577152
0.324778,57.832744
0.327304,58.08947
0.329846,58.347336
0.332405,58.606347
0.33498,58.866508
0.337571,59.127823
0.340179,59.390299
0.342804,59.653939
0.345445,59.91875
0.348103,60.184737
0.350777,60.451904
0.353468,60.720257
0.356176,60.989801
0.358901,61.260542
0.361642,61.532485
0.3644,61.805635
0.367175,62.079998
0.369968,62.355578
0.372777,62.632382
0.375603,62.910415
0.378446,63.189681
0.381306,63.470188
0.384183,63.75194
0.387077,64.034942
0.389989,64.319201
0.392917,64.604721
0.395863,64.89151
0.398826,65.179571
0.401806,65.46891
0.404804,65.759535
0.407818,66.051449
0.41085,66.344659
0.4139,66.639171
0.416966,66.93499
0.42005,67.232123
0.423151,67.530574
0.42627,67.83035
0.429406,68.131457
0.432559,68.433901
0.435729,68.737687
0.438917,69.042822
0.442122,69.349311
0.445345,69.657161
0.448584,69.966378
0.451842,70.276967
0.455116,70.588935
0.458408,70.902287
0.461717,71.217031
0.465043,71.533172
0.468386,71.850716
0.471747,72.16967
0.475125,72.49004
0.47852,72.811832
0.481932,73.135052
0.485361,73.459707
0.488808,73.785803
0.492271,74.113347
0.495752,74.442345
0.499249,74.772804
0.502764,75.104729
0.506295,75.438128
0.509843,75.773007
0.513408,76.109372
0.51699,76.447231
0.520588,76.786589
0.524203,77.127454
0.527835,77.469832
0.531483,77.81373
0.535147,78.159154
0.538828,78.506112
0.542526,78.85461
0.546239,79.204655
0.549969,79.556254
0.553715,79.909413
0.557476,80.264141
0.561254,80.620443
0.565048,80.978327
0.568857,81.337799
0.572682,81.698867
0.576523,82.061538
0.580379,82.425819
0.58425,82.791717
0.588137,83.159239
0.592039,83.528393
0.595956,83.899186
0.599888,84.271624
0.603834,84.645716
0.607796,85.021468
0.611771,85.398889
0.615762,85.777984
0.619766,86.158763
0.623785,86.541232
0.627818,86.925399
0.631865,87.311271
0.635926,87.698856
0.64,88.088162
0.644087,88.479196
0.648188,88.871965
0.652303,89.266479
0.65643,89.662743
0.66057,90.060767
0.664722,90.460557
0.668887,90.862122
0.673065,91.26547
0.677254,91.670608
0.681456,92.077545
0.685669,92.486288
0.689894,92.896846
0.69413,93.309226
0.698378,93.723437
0.702636,94.139486
0.706905,94.557383
0.711185,94.977134
0.715475,95.398749
0.719776,95.822235
0.724086,96.247602
0.728406,96.674856
0.732736,97.104007
0.737074,97.535064
0.741422,97.968033
0.745779,98.402925
0.750144,98.839747
0.754518,99.278509
0.758899,99.719218
0.763289,100.161883
0.767686,100.606514
0.77209,101.053118
0.776502,101.501705
0.78092,101.952283
0.785345,102.404861
0.789776,102.859449
0.794213,103.316054
0.798655,103.774686
0.803104,104.235354
0.807557,104.698068
0.812015,105.162835
0.816478,105.629665
0.820945,106.098568
0.825416,106.569552
0.82989,107.042627
0.834368,107.517802
0.838849,107.995086
0.843333,108.474489
0.847819,108.95602
0.852308,109.439689
0.856798,109.925505
0.86129,110.413477
0.865782,110.903616
0.870276,111.39593
0.87477,111.89043
0.879265,112.387125
0.883759,112.886025
0.888252,113.387139
0.892745,113.890478
0.897237,114.396051
0.901727,114.903869
0.906215,115.413941
0.910701,115.926277
0.915184,116.440888
0.919665,116.957783
0.924142,117.476972
0.928615,117.998466
0.933085,118.522276
0.93755,119.04841
0.94201,119.57688
0.946466,120.107696
0.950915,120.640869
0.955359,121.176408
0.959797,121.714324
0.964228,122.254629
0.968652,122.797331
0.973069,123.342443
0.977478,123.889975
0.981879,124.439937
0.986272,124.992341
0.990655,125.547197
0.99503,126.104516
0.999395,126.664309
1.00375,127.226587
1.008094,127.791361
1.012428,128.358642
1.016751,128.928441
1.021062,129.50077
1.025362,130.075639
1.029649,130.65306
1.033924,131.233045
1.038185,131.815604
1.042434,132.400749
1.046668,132.988492
1.050888,133.578843
1.055094,134.171816
1.059285,134.76742
1.063461,135.365669
1.067621,135.966573
1.071766,136.570145
1.075894,137.176396
1.080005,137.785339
1.084099,138.396984
1.088176,139.011345
1.092235,139.628433
1.096276,140.24826
1.100298,140.870838
1.104302,141.496181
1.108286,142.124299
1.112251,142.755206
1.116197,143.388913
1.120121,144.025434
1.124026,144.66478
1.127909,145.306964
1.131772,145.951999
1.135613,146.599897
1.139432,147.250671
1.143229,147.904335
1.147004,148.5609
1.150756,149.220379
1.154484,149.882786
1.15819,150.548134
1.161872,151.216435
1.16553,151.887702
1.169164,152.56195
1.172773,153.239191
1.176358,153.919438
1.179918,154.602704
1.183452,155.289004
1.186961,155.97835
1.190445,156.670757
1.193902,157.366237
1.197333,158.064804
1.200738,158.766473
1.204116,159.471256
1.207468,160.179168
1.210792,160.890222
1.214089,161.604433
1.217358,162.321815
1.2206,163.04238
1.223815,163.766145
1.227001,164.493122
1.230159,165.223327
1.233288,165.956773
1.23639,166.693475
1.239462,167.433447
1.242506,168.176704
1.245522,168.92326
1.248508,169.673131
1.251465,170.42633
1.254393,171.182873
1.257292,171.942774
1.260161,172.706048
1.263001,173.472711
1.265811,174.242777
1.268592,175.016261
1.271343,175.793179
1.274065,176.573546
1.276757,177.357377
1.279419,178.144687
1.282052,178.935493
1.284655,179.729809
1.287228,180.527651
1.289771,181.329035
1.292285,182.133976
1.294769,182.94249
1.297223,183.754594
1.299648,184.570302
1.302043,185.389632
1.304408,186.212598
1.306745,187.039218
1.309051,187.869507
1.311329,188.703482
1.313577,189.54116
1.315796,190.382555
1.317986,191.227686
1.320148,192.076569
1.32228,192.929219
1.324384,193.785655
1.32646,194.645893
1.328507,195.509949
1.330526,196.377841
1.332517,197.249585
1.33448,198.1252
1.336415,199.004701
1.338323,199.888107
1.340203,200.775434
1.342057,201.6667
1.343883,202.561922
1.345683,203.461119
1.347456,204.364307
1.349203,205.271504
1.350924,206.182729
1.352619,207.097999
1.354289,208.017331
1.355933,208.940745
1.357552,209.868258
1.359146,210.799888
1.360716,211.735654
1.362262,212.675573
1.363783,213.619666
1.365281,214.567949
1.366755,215.520441
1.368206,216.477162
1.369634,217.43813
1.37104,218.403364
1.372423,219.372882
1.373785,220.346705
1.375124,221.32485
1.376443,222.307337
1.37774,223.294186
1.379016,224.285415
1.380272,225.281045
1.381508,226.281094
1.382724,227.285583
1.38392,228.294531
1.385097,229.307957
1.386256,230.325882
1.387395,231.348326
1.388517,232.375309
1.389621,233.406851
1.390707,234.442972
1.391776,235.483692
1.392828,236.529032
1.393864,237.579012
1.394883,238.633654
1.395886,239.692977
1.396874,240.757003
1.397846,241.825752
1.398804,242.899245
1.399746,243.977504
1.400675,245.060549
1.40159,246.148402
1.40249,247.241084
1.403378,248.338616
1.404252,249.441021
1.405114,250.548319
1.405963,251.660533
1.406801,252.777684
1.407626,253.899794
1.40844,255.026886
1.409243,256.15898
1.410034,257.2961
1.410815,258.438268
1.411586,259.585507
1.412347,260.737838
1.413098,261.895284
1.41384,263.057868
1.414572,264.225613
1.415295,265.398542
1.41601,266.576678
1.416716,267.760044
1.417414,268.948662
1.418104,270.142557
1.418787,271.341752
1.419462,272.546271
1.42013,273.756136
1.420791,274.971372
1.421445,276.192002
1.422093,277.418052
1.422735,278.649543
1.42337,279.886502
1.424,281.128951
1.424624,282.376916
1.425243,283.630421
1.425857,284.88949
1.426465,286.154148
1.427069,287.424421
1.427668,288.700332
1.428262,289.981907
1.428853,291.269171
1.429439,292.56215
1.430021,293.860868
1.4306,295.165351
1.431175,296.475625
1.431746,297.791716
1.432314,299.113649
1.432879,300.44145
1.433441,301.775145
1.434,303.114761
1.434556,304.460323
1.435109,305.811859
1.43566,307.169394
1.436209,308.532955
1.436755,309.90257
1.437299,311.278264
1.437841,312.660065
1.438381,314.048001
1.438919,315.442097
1.439456,316.842382
1.43999,318.248883
1.440523,319.661628
1.441055,321.080644
1.441585,322.505959
1.442114,323.937601
1.442641,325.375599
1.443168,326.81998
1.443693,328.270772
1.444217,329.728005
1.44474,331.191707
1.445262,332.661907
1.445783,334.138632
1.446303,335.621914
1.446823,337.111779
1.447341,338.608258
1.447859,340.111381
1.448377,341.621176
1.448894,343.137673
1.44941,344.660902
1.449925,346.190892
1.450441,347.727675
1.450955,349.271279
1.45147,350.821736
1.451984,352.379075
1.452497,353.943328
1.45301,355.514525
1.453523,357.092696
1.454036,358.677873
1.454548,360.270086
1.45506,361.869368
1.455572,363.475749
1.456083,365.089261
1.456595,366.709936
1.457106,368.337805
1.457617,369.9729
1.458128,371.615254
1.458639,373.264898
1.45915,374.921866
1.45966,376.586188
1.460171,378.257899
1.460681,379.937031
1.461192,381.623617
1.461702,383.317689
1.462212,385.019282
1.462723,386.728429
1.463233,388.445162
1.463743,390.169516
1.464253,391.901525
1.464763,393.641223
1.465273,395.388643
1.465784,397.14382
1.466294,398.906789
1.466804,400.677583
1.467314,402.456239
1.467824,404.24279
1.468334,406.037272
1.468844,407.83972
1.469355,409.650169
1.469865,411.468654
1.470375,413.295213
1.470885,415.129879
1.471395,416.97269
1.471906,418.823681
1.472416,420.68289
1.472927,422.550351
1.473437,424.426102
1.473947,426.31018
1.474458,428.202622
1.474968,430.103464
1.475479,432.012745
1.47599,433.9305
1.4765,435.85677
1.477011,437.79159
1.477522,439.734999
1.478032,441.687034
1.478543,443.647736
1.479054,445.617141
1.479565,447.595288
1.480076,449.582217
1.480587,451.577966
1.481098,453.582574
1.481609,455.596081
1.48212,457.618526
1.482631,459.649949
1.483142,461.69039
1.483654,463.739889
1.484165,465.798485
1.484676,467.86622
1.485188,469.943134
1.485699,472.029267
1.48621,474.124661
1.486722,476.229357
1.487234,478.343396
1.487745,480.466819
1.488257,482.599669
1.488769,484.741986
1.48928,486.893813
1.489792,489.055193
1.490304,491.226167
1.490816,493.406778
1.491328,495.59707
1.49184,497.797084
1.492352,500.006864
1.492864,502.226454
1.493376,504.455897
1.493888,506.695237
1.4944,508.944517
1.494912,511.203783
1.495425,513.473077
1.495937,515.752445
1.496449,518.041931
1.496962,520.341581
1.497474,522.651439
1.497987,524.971551
1.498499,527.301962
1.499012,529.642718
1.499524,531.993866
1.500037,534.35545
1.50055,536.727517
1.501062,539.110114
1.501575,541.503288
1.502088,543.907086
1.502601,546.321554
1.503114,548.74674
1.503627,551.182692
1.50414,553.629458
1.504653,556.087085
1.505166,558.555621
1.505679,561.035116
1.506192,563.525618
1.506705,566.027175
1.507219,568.539837
1.507732,571.063653
1.508245,573.598672
1.508759,576.144945
1.509272,578.702521
1.509785,581.27145
1.510299,583.851783
1.510813,586.443571
1.511326,589.046864
1.51184,591.661713
1.512353,594.288169
1.512867,596.926285
1.513381,599.576112
1.513895,602.237702
1.514408,604.911107
1.514922,607.596379
1.515436,610.293571
1.51595,613.002737
1.516464,615.723929
1.516978,618.457201
1.517492,621.202606
1.518006,623.960198
1.518521,626.730032
1.519035,629.512161
1.519549,632.30664
1.520063,635.113525
1.520578,637.932869
1.521092,640.764729
1.521606,643.60916
1.522121,646.466217
1.522635,649.335958
1.52315,652.218437
1.523664,655.113713
1.524179,658.02184
1.524694,660.942877
1.525208,663.876881
1.525723,666.82391
1.526238,669.78402
1.526753,672.757271
1.527268,675.743721
1.527782,678.743428
1.528297,681.75645
1.528812,684.782848
1.529327,687.822681
1.529842,690.876008
1.530357,693.942888
1.530873,697.023383
1.531388,700.117553
1.531903,703.225458
1.532418,706.34716
1.532933,709.482719
1.533449,712.632197
1.533964,715.795656
1.534479,718.973158
1.534995,722.164765
1.53551,725.37054
1.536026,728.590547
1.536541,731.824847
1.537057,735.073504
1.537573,738.336583
1.538088,741.614147
1.538604,744.90626
1.53912,748.212988
1.539635,751.534394
1.540151,754.870545
1.540667,758.221505
1.541183,761.58734
1.541699,764.968117
1.542215,768.363901
1.542731,771.77476
1.543247,775.20076
1.543763,778.641968
1.544279,782.098453
1.544795,785.570281
1.545311,789.05752
1.545827,792.560241
1.546344,796.07851
1.54686,799.612397
1.547376,803.161971
1.547893,806.727303
1.548409,810.308461
1.548926,813.905517
1.549442,817.51854
1.549959,821.147602
1.550475,824.792774
1.550992,828.454127
1.551508,832.131734
1.552025,835.825666
1.552542,839.535995
1.553058,843.262795
1.553575,847.006139
1.554092,850.7661
1.554609,854.542752
1.555126,858.336169
1.555643,862.146425
1.556159,865.973596
1.556676,869.817755
1.557193,873.67898
1.557711,877.557345
1.558228,881.452926
1.558745,885.365801
1.559262,889.296045
1.559779,893.243735
1.560296,897.208951
1.560814,901.191768
1.561331,905.192265
1.561848,909.210521
1.562366,913.246615
1.562883,917.300625
1.5634,921.372632
1.563918,925.462715
1.564435,929.570954
1.564953,933.69743
1.565471,937.842224
1.565988,942.005417
1.566506,946.187091
1.567024,950.387328
1.567541,954.60621
1.568059,958.843821
1.568577,963.100242
1.569095,967.375559
1.569612,971.669854
1.57013,975.983212
1.570648,980.315718
1.571166,984.667456
1.571684,989.038512
1.572202,993.428971
1.57272,997.83892
1.573239,1002.268446
1.573757,1006.717635
1.574275,1011.186574
1.574793,1015.675352
1.575311,1020.184055
1.57583,1024.712774
1.576348,1029.261596
1.576866,1033.83061
1.577385,1038.419907
1.577903,1043.029577
1.578421,1047.659709
1.57894,1052.310395
1.579458,1056.981726
1.579977,1061.673794
1.580496,1066.38669
1.581014,1071.120507
1.581533,1075.875338
1.582052,1080.651277
1.58257,1085.448416
1.583089,1090.266851
1.583608,1095.106675
1.584127,1099.967984
1.584645,1104.850873
1.585164,1109.755437
1.585683,1114.681773
1.586202,1119.629978
1.586721,1124.600149
1.58724,1129.592383
1.587759,1134.606778
1.588278,1139.643432
1.588798,1144.702445
1.589317,1149.783915
1.589836,1154.887943
1.590355,1160.014628
1.590874,1165.16407
1.591394,1170.336372
1.591913,1175.531635
1.592432,1180.749959
1.592952,1185.991449
1.593471,1191.256206
1.593991,1196.544334
1.59451,1201.855936
1.59503,1207.191118
1.595549,1212.549983
1.596069,1217.932636
1.596588,1223.339184
1.597108,1228.769732
1.597628,1234.224387
1.598147,1239.703256
1.598667,1245.206446
1.599187,1250.734066
1.599707,1256.286223
1.600227,1261.863027
1.600747,1267.464587
1.601266,1273.091013
1.601786,1278.742415
1.602306,1284.418905
1.602826,1290.120593
1.603346,1295.847592
1.603867,1301.600014
1.604387,1307.377971
1.604907,1313.181577
1.605427,1319.010946
1.605947,1324.866193
1.606467,1330.747431
1.606988,1336.654777
1.607508,1342.588347
1.608028,1348.548256
1.608549,1354.534622
1.609069,1360.547563
1.60959,1366.587195
1.61011,1372.653638
1.610631,1378.747011
1.611151,1384.867433
1.611672,1391.015024
1.612192,1397.189905
1.612713,1403.392197
1.613234,1409.622022
1.613754,1415.879502
1.614275,1422.164759
1.614796,1428.477918
1.615317,1434.819101
1.615838,1441.188434
1.616358,1447.586041
1.616879,1454.012047
1.6174,1460.466579
1.617921,1466.949764
1.618442,1473.461729
1.618963,1480.002601
1.619484,1486.572508
1.620005,1493.17158
1.620527,1499.799946
1.621048,1506.457737
1.621569,1513.145082
1.62209,1519.862113
1.622611,1526.608961
1.623133,1533.38576
1.623654,1540.192642
1.624175,1547.02974
1.624697,1553.897189
1.625218,1560.795124
1.62574,1567.723679
1.626261,1574.682991
1.626783,1581.673196
1.627304,1588.694431
1.627826,1595.746834
1.628348,1602.830544
1.628869,1609.9457
1.629391,1617.09244
1.629913,1624.270906
1.630434,1631.481238
1.630956,1638.723577
1.631478,1645.998066
1.632,1653.304847
1.632522,1660.644064
1.633044,1668.01586
1.633566,1675.420381
1.634088,1682.857771
1.63461,1690.328177
1.635132,1697.831745
1.635654,1705.368622
1.636176,1712.938956
1.636698,1720.542896
1.63722,1728.18059
1.637742,1735.852189
1.638265,1743.557843
1.638787,1751.297704
1.639309,1759.071923
1.639832,1766.880652
1.640354,1774.724046
1.640877,1782.602257
1.641399,1790.51544
1.641921,1798.463751
1.642444,1806.447345
1.642967,1814.46638
1.643489,1822.521012
1.644012,1830.6114
1.644534,1838.737701
1.645057,1846.900077
1.64558,1855.098686
1.646103,1863.333689
1.646625,1871.605249
1.647148,1879.913527
1.647671,1888.258687
1.648194,1896.640892
1.648717,1905.060306
1.64924,1913.517096
1.649763,1922.011426
1.650286,1930.543463
1.650809,1939.113375
1.651332,1947.72133
1.651855,1956.367496
1.652378,1965.052044
1.652902,1973.775144
1.653425,1982.536967
1.653948,1991.337684
1.654471,2000.177469
1.654995,2009.056494
1.655518,2017.974935
1.656042,2026.932966
1.656565,2035.930762
1.657088,2044.968501
1.657612,2054.046359
1.658136,2063.164515
1.658659,2072.323148
1.659183,2081.522437
1.659706,2090.762563
1.66023,2100.043706
1.660754,2109.36605
1.661278,2118.729777
1.661801,2128.13507
1.662325,2137.582115
1.662849,2147.071096
1.663373,2156.6022
1.663897,2166.175613
1.664421,2175.791525
1.664945,2185.450122
